label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.00673,0.03400,0.03400,5148,5,0,0.03619,33,33,0.02400,0.03000,0.05000,0.05700,0.08500,0.08500,0.08500,33
uu,0.00644,0.02669,0.02683,9984,5,0,0.02744,64,64,0.02000,0.02500,0.03300,0.04300,0.05000,0.05000,0.05000,64
wpm,0.00600,0.03771,0.03814,1344,5,0,0.05046,7,7,0.02100,0.02600,0.11900,0.11900,0.11900,0.11900,0.11900,7
,0.00638,0.02715,0.02730,42284,5,0,0.02963,151,151,0.01300,0.02500,0.03500,0.04400,0.08500,0.11900,0.11900,151
cc,0.00480,0.01560,0.01560,780,5,0,0.01573,5,5,0.01300,0.01500,0.01900,0.01900,0.01900,0.01900,0.01900,5
pd,0.00425,0.02675,0.02675,2634,5,0,0.02676,4,4,0.02500,0.02600,0.02900,0.02900,0.02900,0.02900,0.02900,4
u,0.00625,0.02275,0.02325,1662,5,0,0.02332,4,4,0.02000,0.02300,0.02500,0.02500,0.02500,0.02500,0.02500,4
pma/4,0.01225,0.02750,0.02775,3076,5,0,0.02929,4,4,0.02100,0.02200,0.04400,0.04400,0.04400,0.04400,0.04400,4
pma/7,0.00483,0.01967,0.02000,4614,5,0,0.02010,6,6,0.01600,0.02100,0.02200,0.02200,0.02200,0.02200,0.02200,6
r/XX,0.00500,0.01775,0.01800,640,5,0,0.01813,4,4,0.01600,0.01700,0.02200,0.02200,0.02200,0.02200,0.02200,4
cu,0.00467,0.02467,0.02500,468,5,0,0.02515,3,3,0.02200,0.02400,0.02900,0.02900,0.02900,0.02900,0.02900,3
pma/23,0.00633,0.02333,0.02333,2307,5,0,0.02346,3,3,0.02100,0.02200,0.02700,0.02700,0.02700,0.02700,0.02700,3
pma/1,0.00600,0.02033,0.02033,2307,5,0,0.02055,3,3,0.01600,0.02200,0.02300,0.02300,0.02300,0.02300,0.02300,3
id,0.01033,0.02500,0.02500,492,5,0,0.02616,3,3,0.01900,0.02000,0.03600,0.03600,0.03600,0.03600,0.03600,3
ur,0.00500,0.01880,0.01880,780,5,0,0.01882,5,5,0.01700,0.01900,0.02000,0.02000,0.02000,0.02000,0.02000,5
mas/CN,0.00533,0.01867,0.02033,6048,5,0,0.02060,3,3,0.01700,0.01900,0.02500,0.02500,0.02500,0.02500,0.02500,3
