T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
2.200665200,1.572959858,.775367587,3.248834200,7.022459258,NA,.0000069908,166848,879128,NA,75817.0756733009,270597.9886569773,NA,NA,5.449499400,7.022459258,5.449499400,Cloud-Only,YOLO
2.179375900,1.529892131,.580690522,3.112668500,6.821936531,NA,.0000067994,144956,837676,NA,66512.6195072635,269118.2822713051,NA,NA,5.292044400,6.821936531,5.292044400,Cloud-Only,YOLO
3.658815700,1.425366239,.601111546,3.057406500,8.141588439,NA,.0000063348,386316,765420,NA,105584.9847807310,250349.4383229707,NA,NA,6.716222200,8.141588439,6.716222200,Cloud-Only,YOLO
