label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
uu,0.29655,0.32246,0.32266,8736,5,0,1.36739,56,56,0.02300,0.02900,0.12000,3.26000,9.12000,9.12000,9.12000,56
,0.29360,0.31717,0.31731,39357,5,0,1.30304,131,131,0.01600,0.02900,0.13100,3.03400,9.02400,9.12000,9.12000,131
upm,0.25138,0.27735,0.27735,4056,5,0,0.85619,26,26,0.02800,0.03100,0.10900,3.03400,3.12800,3.12800,3.12800,26
id,0.00450,0.02150,0.02150,656,5,0,0.02151,4,4,0.02000,0.02100,0.02300,0.02300,0.02300,0.02300,0.02300,4
pma/7,0.05450,0.08063,0.08063,6152,5,0,0.10446,8,8,0.01900,0.02100,0.19300,0.19300,0.19300,0.19300,0.19300,8
mas/CN,0.03433,0.05333,0.05467,6048,5,0,0.07339,3,3,0.01900,0.02100,0.12400,0.12400,0.12400,0.12400,0.12400,3
u,2.00650,2.02850,2.02850,840,5,0,2.84896,2,2,0.02600,0.02600,4.03000,4.03000,4.03000,4.03000,4.03000,2
r/XX,0.17160,0.19140,0.19140,800,5,0,0.36648,5,5,0.01900,0.02300,0.81500,0.81500,0.81500,0.81500,0.81500,5
pma/4,0.04667,0.06400,0.06400,2307,5,0,0.08775,3,3,0.02100,0.02200,0.14900,0.14900,0.14900,0.14900,0.14900,3
cu,0.02575,0.04650,0.04650,624,5,0,0.05918,4,4,0.02500,0.02500,0.11000,0.11000,0.11000,0.11000,0.11000,4
wpm,0.02667,0.04633,0.04633,576,5,0,0.04965,3,3,0.02400,0.04700,0.06800,0.06800,0.06800,0.06800,0.06800,3
pma/23,0.06520,0.08120,0.08160,3845,5,0,0.11552,5,5,0.01800,0.02500,0.22600,0.22600,0.22600,0.22600,0.22600,5
cc,0.02825,0.04125,0.04150,624,5,0,0.05933,4,4,0.01600,0.01700,0.11500,0.11500,0.11500,0.11500,0.11500,4
pma/1,0.02467,0.04200,0.04200,2307,5,0,0.05022,3,3,0.02100,0.02400,0.08100,0.08100,0.08100,0.08100,0.08100,3
pd,0.00300,0.02650,0.02650,1318,5,0,0.02652,2,2,0.02500,0.02500,0.02800,0.02800,0.02800,0.02800,0.02800,2
ur,3.01633,3.03600,3.03600,468,5,0,5.21066,3,3,0.02500,0.05300,9.02400,9.02400,9.02400,9.02400,9.02400,3
