label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
r/XX,0.03800,0.05650,0.05700,320,2,0,0.07135,2,2,0.01400,0.01400,0.10000,0.10000,0.10000,0.10000,0.10000,2
wpm,0.06000,0.07675,0.07700,768,2,0,0.09985,4,4,0.01700,0.02000,0.17100,0.17100,0.17100,0.17100,0.17100,4
uu,0.15000,0.16770,0.16783,3588,2,0,0.63164,23,23,0.01600,0.02000,0.12100,0.16700,3.01800,3.01800,3.01800,23
pma/7,0.00400,0.01500,0.01500,769,2,0,0.01499,1,1,0.01500,0.01500,0.01500,0.01500,0.01500,0.01500,0.01500,1
,0.12612,0.14275,0.14286,17286,2,0,0.55880,59,59,0.01400,0.02100,0.11300,0.17100,3.02000,3.02000,3.02000,59
upm,0.01715,0.03515,0.03515,2028,2,0,0.04424,13,13,0.01700,0.02300,0.09500,0.09600,0.09600,0.09600,0.09600,13
cc,0.02350,0.03650,0.03650,312,2,0,0.04285,2,2,0.01400,0.01400,0.05900,0.05900,0.05900,0.05900,0.05900,2
id,0.00400,0.01800,0.01800,164,2,0,0.01798,1,1,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,1
cu,1.55200,1.56650,1.56650,312,2,0,2.13652,2,2,0.11300,0.11300,3.02000,3.02000,3.02000,3.02000,3.02000,2
mas/CN,0.04000,0.05150,0.05250,4032,2,0,0.06390,2,2,0.01600,0.01600,0.08900,0.08900,0.08900,0.08900,0.08900,2
ur,0.03000,0.04200,0.04200,312,2,0,0.04936,2,2,0.01600,0.01600,0.06800,0.06800,0.06800,0.06800,0.06800,2
pma/23,0.02050,0.03300,0.03300,1538,2,0,0.03664,2,2,0.01700,0.01700,0.04900,0.04900,0.04900,0.04900,0.04900,2
pma/1,0.04950,0.06300,0.06300,1538,2,0,0.07511,2,2,0.02200,0.02200,0.10400,0.10400,0.10400,0.10400,0.10400,2
u,0.00450,0.02700,0.02700,836,2,0,0.02787,2,2,0.02000,0.02000,0.03400,0.03400,0.03400,0.03400,0.03400,2
pma/4,0.00400,0.01600,0.01600,769,2,0,0.01598,1,1,0.01600,0.01600,0.01600,0.01600,0.01600,0.01600,0.01600,1
