label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
uu,0.17857,0.20093,0.20114,8736,5,0,0.88253,56,56,0.01500,0.01900,0.11200,0.13800,5.20800,5.20800,5.20800,56
id,0.03600,0.05967,0.06000,492,5,0,0.07079,3,3,0.01600,0.05600,0.10800,0.10800,0.10800,0.10800,0.10800,3
pma/1,0.61960,0.63540,0.63540,3845,5,0,1.35082,5,5,0.01400,0.01800,3.01800,3.01800,3.01800,3.01800,3.01800,5
cu,0.03167,0.04733,0.04733,468,5,0,0.05902,3,3,0.01800,0.02700,0.09700,0.09700,0.09700,0.09700,0.09700,3
ur,0.04460,0.05880,0.05880,780,5,0,0.06940,5,5,0.02000,0.03800,0.10500,0.10500,0.10500,0.10500,0.10500,5
,0.11322,0.13116,0.13136,39588,5,0,0.62672,135,135,0.01300,0.02000,0.11200,0.13800,4.04000,5.20800,5.20800,135
upm,0.03759,0.05400,0.05400,4212,5,0,0.07214,27,27,0.01800,0.02300,0.12900,0.13800,0.20100,0.20100,0.20100,27
pma/7,0.01750,0.02950,0.03025,3076,5,0,0.03830,4,4,0.01600,0.01700,0.07100,0.07100,0.07100,0.07100,0.07100,4
cc,0.04380,0.05500,0.05520,780,5,0,0.08593,5,5,0.01300,0.01500,0.18400,0.18400,0.18400,0.18400,0.18400,5
r/XX,0.00580,0.01640,0.01660,800,5,0,0.01690,5,5,0.01400,0.01500,0.02300,0.02300,0.02300,0.02300,0.02300,5
pma/4,0.00400,0.01600,0.01625,3076,5,0,0.01632,4,4,0.01500,0.01500,0.01900,0.01900,0.01900,0.01900,0.01900,4
pma/23,0.03100,0.04400,0.04425,3076,5,0,0.06511,4,4,0.01400,0.01800,0.12700,0.12700,0.12700,0.12700,0.12700,4
wpm,0.03233,0.04750,0.04783,1152,5,0,0.06112,6,6,0.01700,0.02100,0.11300,0.11300,0.11300,0.11300,0.11300,6
pd,0.01725,0.03175,0.03175,2636,5,0,0.03412,4,4,0.01900,0.02000,0.04800,0.04800,0.04800,0.04800,0.04800,4
mas/CN,0.00733,0.02033,0.02167,6048,5,0,0.02288,3,3,0.01500,0.01800,0.03200,0.03200,0.03200,0.03200,0.03200,3
u,0.00300,0.01700,0.01700,411,5,0,0.01698,1,1,0.01700,0.01700,0.01700,0.01700,0.01700,0.01700,0.01700,1
