label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.01424,0.03407,0.03407,4524,5,0,0.04466,29,29,0.01800,0.02100,0.10100,0.10700,0.11400,0.11400,0.11400,29
pma/4,0.02267,0.04467,0.04567,2307,5,0,0.06150,3,3,0.01600,0.01700,0.10400,0.10400,0.10400,0.10400,0.10400,3
id,0.00533,0.01767,0.01800,492,5,0,0.01804,3,3,0.01700,0.01700,0.02000,0.02000,0.02000,0.02000,0.02000,3
uu,0.25725,0.27208,0.27235,7488,5,0,1.37436,48,48,0.01600,0.01900,0.04000,0.09500,9.02400,9.02400,9.02400,48
,0.11017,0.12589,0.12609,42502,5,0,0.83230,133,133,0.01400,0.01900,0.04100,0.10400,3.02200,9.02400,9.02400,133
mas/CN,0.27100,0.28275,0.28375,8064,5,0,0.54254,4,4,0.01600,0.01700,1.08500,1.08500,1.08500,1.08500,1.08500,4
pma/23,0.00660,0.01940,0.01940,3845,5,0,0.01961,5,5,0.01600,0.01800,0.02300,0.02300,0.02300,0.02300,0.02300,5
pma/7,0.00438,0.02038,0.02050,6152,5,0,0.02200,8,8,0.01500,0.01700,0.04100,0.04100,0.04100,0.04100,0.04100,8
wpm,0.04967,0.06433,0.06444,1728,5,0,0.14566,9,9,0.01600,0.01900,0.43400,0.43400,0.43400,0.43400,0.43400,9
r/XX,0.00400,0.01750,0.01775,640,5,0,0.01774,4,4,0.01700,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,4
cc,0.00580,0.01800,0.01800,780,5,0,0.01839,5,5,0.01400,0.01600,0.02400,0.02400,0.02400,0.02400,0.02400,5
ur,0.00550,0.02250,0.02250,312,5,0,0.02340,2,2,0.01600,0.01600,0.02900,0.02900,0.02900,0.02900,0.02900,2
u,0.03000,0.04433,0.04467,1263,5,0,0.05709,3,3,0.01800,0.02100,0.09500,0.09500,0.09500,0.09500,0.09500,3
cu,0.00850,0.02325,0.02350,624,5,0,0.02475,4,4,0.01800,0.01900,0.03700,0.03700,0.03700,0.03700,0.03700,4
pd,0.00400,0.01833,0.01833,1976,5,0,0.01832,3,3,0.01800,0.01800,0.01900,0.01900,0.01900,0.01900,0.01900,3
pma/1,0.00533,0.01733,0.01767,2307,5,0,0.01767,3,3,0.01700,0.01700,0.01900,0.01900,0.01900,0.01900,0.01900,3
