T1,ET,T2,T3,RTT,RTF,Cost,BytesUp,BytesDown,BytesDownEdgeCloud,EdgeCloudT4
1.264502600,.072373516,1.628151727,1.311315600,2.648191716,NA,.0000001608,3272,NA,NA,NA
1.250233600,.058007020,1.277156730,1.332693400,2.640934020,NA,.0000001289,3280,NA,NA,NA
1.279232800,.057386440,1.424551120,1.610484500,2.947103740,NA,.0000001275,3280,NA,NA,NA
1.404557000,.051637102,1.520931203,1.407812100,2.864006202,NA,.0000001147,3280,NA,NA,NA
1.315599100,.055003031,1.372033533,1.287530900,2.658133031,NA,.0000001222,3280,NA,NA,NA
