T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
1.167597,8.640749001,3.944912901,1.0856909,10.8940369,1.896018334,1.92014E-05,149280,3672,6618280,127852.3326,3382.178113,1251111.687,5.289919411,2.2532879,Cloud/Edge,Pocket-Sphinx
2.6156621,12.54790752,1.258486361,1.1805431,16.34411272,1.889567251,2.78839E-05,216044,3680,6618260,82596.2956,3117.209359,1433042.314,4.618328388,3.7962052,Cloud/Edge,Pocket-Sphinx
1.4331426,14.42485423,1.413225903,1.0965949,16.95459173,2.172213342,3.20549E-05,216044,3688,6618360,150748.4322,3363.138019,1414434.82,4.679155168,2.5297375,Cloud/Edge,Pocket-Sphinx
1.0701839,8.601951653,1.31045287,1.0250341,10.69716965,1.887505127,1.91152E-05,149280,3752,6618280,139490.0447,3660.366031,1426495.827,4.639536881,2.095218,Cloud/Edge,Pocket-Sphinx
1.3914449,12.60795461,1.314316874,1.1962071,15.19560661,1.898609636,2.80173E-05,216044,3680,6617920,155265.9397,3076.390368,1274505.199,5.192540606,2.587652,Cloud/Edge,Pocket-Sphinx
1.5328917,14.44559092,1.413298802,1.1636752,17.14215782,2.175336045,3.21009E-05,216024,3760,6618260,140925.8071,3231.142161,1430445.602,4.626712117,2.6965669,Cloud/Edge,Pocket-Sphinx
,,,,,,,,,,,,,,,,
2.662891517,4.325212841,0.581710606,2.07078675,9.058891107,0.733456358,1.92E-05,204578,2938.666667,NA,77237.01849,1448.344492,NA,NA,2.84020696,Cloud/Edge,Pocket-Sphinx
