label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/7,0.02413,0.04200,0.04200,6152,5,0,0.05185,8,8,0.02300,0.02500,0.10400,0.10400,0.10400,0.10400,0.10400,8
uu,0.00785,0.03217,0.03237,8112,5,0,0.03410,52,52,0.02300,0.03000,0.04100,0.05700,0.09000,0.09000,0.09000,52
pma/23,0.00475,0.02375,0.02375,3076,5,0,0.02427,4,4,0.01900,0.02000,0.03200,0.03200,0.03200,0.03200,0.03200,4
pma/4,0.00475,0.02125,0.02150,3076,5,0,0.02153,4,4,0.02000,0.02100,0.02400,0.02400,0.02400,0.02400,0.02400,4
,0.00813,0.03118,0.03137,44242,5,0,0.03363,137,137,0.01500,0.02900,0.04000,0.05500,0.09000,0.10400,0.10400,137
wpm,0.00633,0.02644,0.02667,1728,5,0,0.02684,9,9,0.02300,0.02700,0.03300,0.03300,0.03300,0.03300,0.03300,9
upm,0.00757,0.03718,0.03718,4368,5,0,0.03780,28,28,0.03000,0.03500,0.04300,0.04800,0.06800,0.06800,0.06800,28
u,0.00620,0.02660,0.02680,2081,5,0,0.02687,5,5,0.02300,0.02700,0.03000,0.03000,0.03000,0.03000,0.03000,5
cc,0.00800,0.02325,0.02325,624,5,0,0.02447,4,4,0.01500,0.01700,0.03400,0.03400,0.03400,0.03400,0.03400,4
pma/1,0.00650,0.02375,0.02400,3076,5,0,0.02405,4,4,0.02200,0.02300,0.02700,0.02700,0.02700,0.02700,0.02700,4
r/XX,0.00500,0.01960,0.01980,800,5,0,0.01990,5,5,0.01700,0.02000,0.02300,0.02300,0.02300,0.02300,0.02300,5
mas/CN,0.00675,0.02325,0.02525,8064,5,0,0.02526,4,4,0.02300,0.02600,0.02600,0.02600,0.02600,0.02600,0.02600,4
ur,0.00650,0.02400,0.02400,312,5,0,0.02416,2,2,0.02100,0.02100,0.02700,0.02700,0.02700,0.02700,0.02700,2
cu,0.00533,0.02733,0.02767,468,5,0,0.02769,3,3,0.02600,0.02700,0.03000,0.03000,0.03000,0.03000,0.03000,3
pd,0.00833,0.03867,0.03900,1977,5,0,0.04058,3,3,0.03000,0.03200,0.05500,0.05500,0.05500,0.05500,0.05500,3
id,0.00550,0.02300,0.02300,328,5,0,0.02300,2,2,0.02200,0.02200,0.02400,0.02400,0.02400,0.02400,0.02400,2
