label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.00647,0.02703,0.02703,5616,5,0,0.02795,36,36,0.02000,0.02600,0.03200,0.03700,0.06400,0.06400,0.06400,36
id,0.01500,0.03400,0.03433,492,5,0,0.04219,3,3,0.01500,0.01900,0.06900,0.06900,0.06900,0.06900,0.06900,3
pma/23,0.01275,0.03125,0.03175,3076,5,0,0.04075,4,4,0.01500,0.01700,0.07600,0.07600,0.07600,0.07600,0.07600,4
wpm,0.00811,0.02811,0.02822,1728,5,0,0.03487,9,9,0.01800,0.02100,0.08600,0.08600,0.08600,0.08600,0.08600,9
mas/CN,0.00467,0.01700,0.01900,6048,5,0,0.01900,3,3,0.01800,0.01900,0.02000,0.02000,0.02000,0.02000,0.02000,3
uu,0.00643,0.02541,0.02559,8424,5,0,0.02701,54,54,0.01700,0.02300,0.03500,0.04600,0.06200,0.06200,0.06200,54
pma/1,0.00550,0.01950,0.01950,3076,5,0,0.01949,4,4,0.01900,0.01900,0.02000,0.02000,0.02000,0.02000,0.02000,4
pma/7,0.00600,0.02043,0.02071,5383,5,0,0.02086,7,7,0.01600,0.02200,0.02400,0.02400,0.02400,0.02400,0.02400,7
,0.02791,0.04665,0.04683,43098,5,0,0.25384,144,144,0.01400,0.02300,0.03500,0.06100,0.08600,3.02600,3.02600,144
pd,0.60520,0.62280,0.62320,3293,5,0,1.35358,5,5,0.02000,0.02400,3.02600,3.02600,3.02600,3.02600,3.02600,5
u,0.00550,0.04000,0.04000,846,5,0,0.04268,2,2,0.02500,0.02500,0.05500,0.05500,0.05500,0.05500,0.05500,2
cc,0.00600,0.02300,0.02325,624,5,0,0.02532,4,4,0.01400,0.01700,0.04000,0.04000,0.04000,0.04000,0.04000,4
ur,0.00350,0.01950,0.01950,312,5,0,0.01954,2,2,0.01800,0.01800,0.02100,0.02100,0.02100,0.02100,0.02100,2
r/XX,0.02667,0.03833,0.03833,480,5,0,0.04840,3,3,0.01400,0.02100,0.08000,0.08000,0.08000,0.08000,0.08000,3
cu,0.00675,0.02675,0.02700,624,5,0,0.02760,4,4,0.02300,0.02300,0.03700,0.03700,0.03700,0.03700,0.03700,4
pma/4,0.00425,0.01850,0.01850,3076,5,0,0.01852,4,4,0.01700,0.01800,0.02000,0.02000,0.02000,0.02000,0.02000,4
