T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
1.902233000,2.264008727,1.046785023,3.049244400,7.215486127,NA,.0000100621,166848,879128,NA,87711.6525683236,288310.1138104902,NA,NA,4.951477400,7.215486127,4.951477400,Cloud-Only,YOLO
1.802575200,1.635886596,.569284493,2.790006300,6.228468096,NA,.0000072705,144956,837676,NA,80416.0625309834,300241.6159418708,NA,NA,4.592581500,6.228468096,4.592581500,Cloud-Only,YOLO
3.046471600,1.413429951,.514167074,2.645967700,7.105869251,NA,.0000062818,386316,765420,NA,126807.6813845893,289277.9076630451,NA,NA,5.692439300,7.105869251,5.692439300,Cloud-Only,YOLO
