label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
u,0.04700,0.09125,0.09175,1716,5,0,0.09391,4,4,0.07700,0.08100,0.12700,0.12700,0.12700,0.12700,0.12700,4
,0.03911,0.08344,0.08364,35827,5,0,0.08380,124,124,0.07500,0.08200,0.09000,0.09600,0.10500,0.12700,0.12700,124
wpm,0.03850,0.08237,0.08262,1536,5,0,0.08258,8,8,0.07900,0.08200,0.08600,0.08600,0.08600,0.08600,0.08600,8
pma/7,0.03929,0.08186,0.08200,5383,5,0,0.08194,7,7,0.07900,0.08100,0.08500,0.08500,0.08500,0.08500,0.08500,7
upm,0.03963,0.08453,0.08453,4680,5,0,0.08459,30,30,0.07600,0.08300,0.09200,0.09500,0.09600,0.09600,0.09600,30
uu,0.03889,0.08252,0.08278,7176,5,0,0.08277,46,46,0.07700,0.08200,0.08800,0.08900,0.09600,0.09600,0.09600,46
ur,0.03933,0.07933,0.07933,468,5,0,0.07929,3,3,0.07600,0.08000,0.08200,0.08200,0.08200,0.08200,0.08200,3
r/XX,0.03750,0.08500,0.08550,640,5,0,0.08599,4,4,0.07500,0.07900,0.10100,0.10100,0.10100,0.10100,0.10100,4
pma/23,0.03600,0.09250,0.09300,1538,5,0,0.09368,2,2,0.08100,0.08100,0.10500,0.10500,0.10500,0.10500,0.10500,2
cc,0.03925,0.08275,0.08275,624,5,0,0.08283,4,4,0.07700,0.08100,0.09100,0.09100,0.09100,0.09100,0.09100,4
pd,0.03733,0.08100,0.08133,1974,5,0,0.08125,3,3,0.08100,0.08100,0.08200,0.08200,0.08200,0.08200,0.08200,3
id,0.03925,0.08625,0.08625,656,5,0,0.08646,4,4,0.07700,0.08500,0.09700,0.09700,0.09700,0.09700,0.09700,4
pma/1,0.03633,0.07933,0.07967,2307,5,0,0.07966,3,3,0.07600,0.07900,0.08400,0.08400,0.08400,0.08400,0.08400,3
mas/CN,0.03767,0.08767,0.08833,6048,5,0,0.08855,3,3,0.07900,0.08900,0.09700,0.09700,0.09700,0.09700,0.09700,3
pma/4,0.03700,0.08100,0.08100,769,5,0,0.08092,1,1,0.08100,0.08100,0.08100,0.08100,0.08100,0.08100,0.08100,1
cu,0.03800,0.07700,0.07700,312,5,0,0.07693,2,2,0.07600,0.07600,0.07800,0.07800,0.07800,0.07800,0.07800,2
