T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
1.188457,12.04114166,2.910578773,1.225083,14.45468166,NA,2.67578E-05,167188,879816,35459092,140676.5243,718168.4833,2087778.901,16.98412221,2.41354,Cloud/Edge,YOLO
1.0220124,11.79611129,3.112213757,1.5500811,14.36820479,NA,2.62133E-05,145296,838304,35459092,142166.5725,540812.9936,1805415.512,19.64040509,2.5720935,Cloud/Edge,YOLO
1.5476553,11.79933474,2.813818307,1.3951413,14.74213134,NA,2.62204E-05,386696,766108,35459092,249859.2548,549125.7409,2091179.069,16.95650675,2.9427966,Cloud/Edge,YOLO
1.0532896,12.02145903,3.15350537,1.2474123,14.32216093,NA,0.000026714,167188,879756,35459092,158729.3751,705264.811,1735845.515,20.42756207,2.3007019,Cloud/Edge,YOLO
1.3592681,12.10012329,3.055459779,1.219144,14.67853539,NA,2.68888E-05,145296,838364,35459092,106892.8197,687666.1001,1790708.69,19.80170879,2.5784121,Cloud/Edge,YOLO
1.4407937,11.94676129,2.818232113,1.1791575,14.56671249,NA,0.000026548,386696,766048,35459092,268390.957,649657.0645,1470328.566,24.11644093,2.6199512,Cloud/Edge,YOLO
,,,,,,,,,,,,,,,,
2.94546555,2.055082447,0.739104277,2.5941915,7.594739497,NA,9.35E-06,232714.6667,827342.6667,NA,79614.61277,320944.4224,NA,NA,5.53965705,Cloud/Edge,YOLO
