T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
1.826918200,2.574755384,.752053954,1.643675600,6.045349184,.5649722509,.0000114432,148940,3052,NA,81525.2702611425,1856.8140818054,NA,NA,3.470593800,6.045349184,3.470593800,Cloud-Only,PocketSphinx
2.502777500,3.611322939,.520873959,1.627247700,7.741348139,.5438227484,.0000160501,215684,3060,NA,86177.8564015378,1880.4758488827,NA,NA,4.130025200,7.741348139,4.130025200,Cloud-Only,PocketSphinx
2.477833600,3.726978262,.355569637,1.644207400,7.849019262,.5612390794,.0000165641,215684,3060,NA,87045.3932015450,1861.0790828456,NA,NA,4.122041000,7.849019262,4.122041000,Cloud-Only,PocketSphinx
