T1,ET,T2,T3,RTT,RTF,Cost,BytesUp,BytesDown
1.315409400,.020120201,.354228188,1.423607200,1.689757789,NA,.0000000894,2964,NA
1.359446700,.016325345,.343858154,1.416662300,1.719630199,NA,.0000000725,2964,NA
1.347607600,.018930985,.349728967,1.522289600,1.716267552,NA,.0000000841,2972,NA
1.310019400,.025988551,.298862813,1.509901600,1.634870764,NA,.0000001155,2972,NA
1.308602600,.025317372,.354565405,1.375500900,1.688485377,NA,.0000001125,2964,NA
