timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552838398835,136,r/XX,200,OK,ipokemon 1-1,text,true,,160,320,2,2,http://192.168.0.38:8000/r/XX,135,0,107
1552838398835,135,upm,200,OK,ipokemon 1-2,text,true,,156,2746,2,2,http://192.168.0.38:8000/upm,134,0,109
1552838398976,15,pma/1,200,OK,ipokemon 1-2,text,true,,769,321,2,2,http://192.168.0.38:8000/pma/1,14,0,4
1552838406035,94,uu,200,OK,ipokemon 1-2,text,true,,156,722,2,2,http://192.168.0.38:8000/uu,94,0,79
1552838406130,20,uu,200,OK,ipokemon 1-2,text,true,,156,907,2,2,http://192.168.0.38:8000/uu,20,0,6
1552838407003,21,upm,200,OK,ipokemon 1-2,text,true,,156,1289,2,2,http://192.168.0.38:8000/upm,21,0,6
1552838414908,130,wpm,200,OK,ipokemon 1-2,text,true,,192,327,2,2,http://192.168.0.38:8000/wpm?code=CN,130,0,115
1552838418936,95,uu,200,OK,ipokemon 1-2,text,true,,156,731,2,2,http://192.168.0.38:8000/uu,95,0,80
1552838419031,16,pma/4,200,OK,ipokemon 1-2,text,true,,769,321,2,2,http://192.168.0.38:8000/pma/4,16,0,4
1552838419048,17,pd,200,OK,ipokemon 1-2,text,true,,659,318,2,2,http://192.168.0.38:8000/pd,17,0,4
1552838421170,25,uu,200,OK,ipokemon 1-1,text,true,,156,740,2,2,http://192.168.0.38:8000/uu,25,0,8
1552838421196,20,upm,200,OK,ipokemon 1-1,text,true,,156,1311,2,2,http://192.168.0.38:8000/upm,20,0,5
1552838435913,120,pma/7,200,OK,ipokemon 1-2,text,true,,769,321,2,2,http://192.168.0.38:8000/pma/7,120,0,101
1552838436034,17,pma/7,200,OK,ipokemon 1-2,text,true,,769,321,2,2,http://192.168.0.38:8000/pma/7,17,0,5
1552838436052,20,upm,200,OK,ipokemon 1-2,text,true,,156,1971,2,2,http://192.168.0.38:8000/upm,20,0,5
1552838436073,17,cc,200,OK,ipokemon 1-2,text,true,,156,318,2,2,http://192.168.0.38:8000/cc,17,0,4
1552838441445,138,ur,200,OK,ipokemon 1-1,text,true,,156,655,2,2,http://192.168.0.38:8000/ur,138,0,99
1552838441583,18,uu,200,OK,ipokemon 1-1,text,true,,156,731,2,2,http://192.168.0.38:8000/uu,18,0,5
1552838441602,19,uu,200,OK,ipokemon 1-1,text,true,,156,931,2,2,http://192.168.0.38:8000/uu,19,0,4
1552838441622,17,pma/4,200,OK,ipokemon 1-1,text,true,,769,321,2,2,http://192.168.0.38:8000/pma/4,17,0,4
1552838452679,41,uu,200,OK,ipokemon 1-1,text,true,,156,728,2,2,http://192.168.0.38:8000/uu,41,0,26
1552838469614,21,uu,200,OK,ipokemon 1-1,text,true,,156,731,2,2,http://192.168.0.38:8000/uu,20,0,5
1552838469635,27,uu,200,OK,ipokemon 1-1,text,true,,156,621,2,2,http://192.168.0.38:8000/uu,27,0,5
1552838469663,22,pma/1,200,OK,ipokemon 1-1,text,true,,769,321,2,2,http://192.168.0.38:8000/pma/1,22,0,4
1552838488075,22,upm,200,OK,ipokemon 1-2,text,true,,156,2592,2,2,http://192.168.0.38:8000/upm,22,0,5
1552838488097,18,mas/CN,200,OK,ipokemon 1-2,text,true,,2016,322,2,2,http://192.168.0.38:8000/mas/CN,17,0,5
1552838488116,18,pma/23,200,OK,ipokemon 1-2,text,true,,769,322,2,2,http://192.168.0.38:8000/pma/23,18,0,4
1552838498516,83,uu,200,OK,ipokemon 1-2,text,true,,156,631,2,2,http://192.168.0.38:8000/uu,83,0,67
1552838498600,15,id,200,OK,ipokemon 1-2,text,true,,164,318,2,2,http://192.168.0.38:8000/id,15,0,4
1552838498616,17,u,200,OK,ipokemon 1-2,text,true,,429,317,2,2,http://192.168.0.38:8000/u,17,0,4
1552838509676,82,ur,200,OK,ipokemon 1-2,text,true,,156,631,2,2,http://192.168.0.38:8000/ur,82,0,66
1552838509759,16,uu,200,OK,ipokemon 1-2,text,true,,156,618,2,2,http://192.168.0.38:8000/uu,16,0,4
1552838509776,18,uu,200,OK,ipokemon 1-2,text,true,,156,710,2,2,http://192.168.0.38:8000/uu,18,0,5
1552838528158,288,cc,200,OK,ipokemon 1-1,text,true,,156,318,2,2,http://192.168.0.38:8000/cc,288,0,17
1552838535262,19,uu,200,OK,ipokemon 1-2,text,true,,156,719,2,2,http://192.168.0.38:8000/uu,18,0,4
1552838535281,21,upm,200,OK,ipokemon 1-2,text,true,,156,2733,2,2,http://192.168.0.38:8000/upm,21,0,5
1552838541521,81,upm,200,OK,ipokemon 1-1,text,true,,156,2016,2,2,http://192.168.0.38:8000/upm,81,0,66
1552838548776,109,id,200,OK,ipokemon 1-1,text,true,,164,318,2,2,http://192.168.0.38:8000/id,109,0,85
1552838548885,20,upm,200,OK,ipokemon 1-1,text,true,,156,2083,2,2,http://192.168.0.38:8000/upm,20,0,6
1552838550054,18,uu,200,OK,ipokemon 1-2,text,true,,156,710,2,2,http://192.168.0.38:8000/uu,18,0,5
1552838550076,22,uu,200,OK,ipokemon 1-2,text,true,,156,737,2,2,http://192.168.0.38:8000/uu,21,0,6
1552838550098,16,uu,200,OK,ipokemon 1-2,text,true,,156,631,2,2,http://192.168.0.38:8000/uu,16,0,4
1552838550115,19,uu,200,OK,ipokemon 1-2,text,true,,156,785,2,2,http://192.168.0.38:8000/uu,18,0,5
1552838550134,15,r/XX,200,OK,ipokemon 1-2,text,true,,160,320,2,2,http://192.168.0.38:8000/r/XX,15,0,4
1552838550150,19,uu,200,OK,ipokemon 1-2,text,true,,156,731,2,2,http://192.168.0.38:8000/uu,19,0,5
1552838550170,19,cu,200,OK,ipokemon 1-2,text,true,,156,621,2,2,http://192.168.0.38:8000/cu,19,0,4
1552838550189,21,upm,200,OK,ipokemon 1-2,text,true,,156,2015,2,2,http://192.168.0.38:8000/upm,21,0,5
1552838550210,19,upm,200,OK,ipokemon 1-2,text,true,,156,1993,2,2,http://192.168.0.38:8000/upm,19,0,5
1552838550231,21,uu,200,OK,ipokemon 1-2,text,true,,156,923,2,2,http://192.168.0.38:8000/uu,20,0,7
1552838557125,50,upm,200,OK,ipokemon 1-2,text,true,,156,2050,2,2,http://192.168.0.38:8000/upm,50,0,35
1552838576559,99,uu,200,OK,ipokemon 1-1,text,true,,156,628,2,2,http://192.168.0.38:8000/uu,99,0,50
1552838576659,16,mas/CN,200,OK,ipokemon 1-1,text,true,,2016,322,2,2,http://192.168.0.38:8000/mas/CN,15,0,4
1552838576675,24,upm,200,OK,ipokemon 1-1,text,true,,156,2059,2,2,http://192.168.0.38:8000/upm,24,0,9
1552838576700,23,wpm,200,OK,ipokemon 1-1,text,true,,192,327,2,2,http://192.168.0.38:8000/wpm?code=CN,23,0,7
1552838576723,22,upm,200,OK,ipokemon 1-1,text,true,,156,2733,2,2,http://192.168.0.38:8000/upm,22,0,5
1552838603024,3089,uu,200,OK,ipokemon 1-2,text,true,,156,921,2,2,http://192.168.0.38:8000/uu,3089,0,3075
1552838683318,107,uu,200,OK,ipokemon 1-1,text,true,,156,725,2,2,http://192.168.0.38:8000/uu,107,0,93
1552838697443,121,upm,200,OK,ipokemon 1-2,text,true,,156,2016,2,2,http://192.168.0.38:8000/upm,121,0,102
1552838697564,17,wpm,200,OK,ipokemon 1-2,text,true,,192,327,2,2,http://192.168.0.38:8000/wpm?code=CN,17,0,4
