1549230635788,76,pma/7,200,OK,ipokemon 1-3,text,true,,769,321,5,5,http://192.168.0.39:8000/pma/7,76,0,47
1549230635788,91,upm,200,OK,ipokemon 1-4,text,true,,156,2004,5,5,http://192.168.0.39:8000/upm,91,0,46
1549230635789,108,uu,200,OK,ipokemon 1-5,text,true,,156,728,5,5,http://192.168.0.39:8000/uu,108,0,45
1549230635880,36,uu,200,OK,ipokemon 1-3,text,true,,156,821,5,5,http://192.168.0.39:8000/uu,36,0,5
1549230635880,52,uu,200,OK,ipokemon 1-4,text,true,,156,740,5,5,http://192.168.0.39:8000/uu,52,0,5
1549230635897,55,uu,200,OK,ipokemon 1-5,text,true,,156,919,5,5,http://192.168.0.39:8000/uu,54,0,5
1549230635932,30,pma/4,200,OK,ipokemon 1-4,text,true,,769,321,5,5,http://192.168.0.39:8000/pma/4,30,0,9
1549230635953,23,uu,200,OK,ipokemon 1-5,text,true,,156,825,5,5,http://192.168.0.39:8000/uu,22,0,4
1549230635976,19,cu,200,OK,ipokemon 1-5,text,true,,156,627,5,5,http://192.168.0.39:8000/cu,19,0,3
1549230635996,20,upm,200,OK,ipokemon 1-5,text,true,,156,2026,5,5,http://192.168.0.39:8000/upm,20,0,3
1549230636017,27,uu,200,OK,ipokemon 1-5,text,true,,156,740,5,5,http://192.168.0.39:8000/uu,26,0,4
1549230637039,33,pma/1,200,OK,ipokemon 1-2,text,true,,769,321,5,5,http://192.168.0.39:8000/pma/1,33,0,11
1549230648750,31,uu,200,OK,ipokemon 1-1,text,true,,156,911,5,5,http://192.168.0.39:8000/uu,31,0,7
1549230648782,20,id,200,OK,ipokemon 1-1,text,true,,164,318,5,5,http://192.168.0.39:8000/id,20,0,3
1549230648803,42,uu,200,OK,ipokemon 1-1,text,true,,156,725,5,5,http://192.168.0.39:8000/uu,42,0,4
1549230648847,27,uu,200,OK,ipokemon 1-1,text,true,,156,740,5,5,http://192.168.0.39:8000/uu,27,0,4
1549230656281,30,uu,200,OK,ipokemon 1-3,text,true,,156,630,5,5,http://192.168.0.39:8000/uu,30,0,7
1549230656312,26,uu,200,OK,ipokemon 1-3,text,true,,156,725,5,5,http://192.168.0.39:8000/uu,26,0,4
1549230663380,35,pma/4,200,OK,ipokemon 1-3,text,true,,769,321,5,5,http://192.168.0.39:8000/pma/4,35,0,19
1549230664725,69,wpm,200,OK,ipokemon 1-2,text,true,,192,327,5,5,http://192.168.0.39:8000/wpm?code=CN,69,0,26
1549230664768,59,upm,200,OK,ipokemon 1-3,text,true,,156,2480,5,5,http://192.168.0.39:8000/upm,59,0,26
1549230674602,42,upm,200,OK,ipokemon 1-5,text,true,,156,1366,5,5,http://192.168.0.39:8000/upm,42,0,14
