T1,ET,T2,T3,RTT,RTF,Cost,BytesUp,BytesDown,BytesDownEdgeCloud,EdgeCloudT4
1.389731600,.009301969,.347211715,1.846545500,3.245579069,NA,.0000000413,3120,2944,NA,NA
1.374701900,.009083884,.300272404,1.840901000,3.224686784,NA,.0000000403,3108,2944,NA,NA
1.454096100,.008939336,.299098462,1.814814900,3.277850336,NA,.0000000397,3108,2944,NA,NA
1.436531200,.012781666,.298475735,1.858927500,3.308240366,NA,.0000000568,3108,2944,NA,NA
1.417614700,.013914805,.347505733,1.765346000,3.196875505,NA,.0000000618,3108,2944,NA,NA
