T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,Pipeline,Application
2.062121600,.517255347,.822067550,1.048967600,3.628344547,NA,.0000011494,6508,3512,NA,6167.2429187172,3348.0538388411,NA,Cloud/Edge,Aeneas
2.353166600,.525123116,.807801931,1.000663100,3.878952816,NA,.0000011669,6508,3460,NA,5362.3505745842,3457.7071943594,NA,Cloud/Edge,Aeneas
2.241897700,.529007666,.809086683,.974822300,3.745727666,NA,.0000011755,6508,3460,NA,5369.0317061074,3549.3648432129,NA,Cloud/Edge,Aeneas
