T1,ET,T2,T3,RTT,RTF,Cost,MEM,CPU
1.602950200,1.542983525,.759397718,1.563851800,3.905331443,NA,.0000068576,NA,NA
1.534445600,1.563049501,.600551421,1.585039000,3.698046522,NA,.0000069468,NA,NA
1.679733800,1.417453036,.457451636,1.585455600,3.554638472,NA,.0000062997,NA,NA
