label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.02831,0.04531,0.04531,4992,5,0,0.06630,32,32,0.01700,0.02100,0.10100,0.19300,0.21200,0.21200,0.21200,32
r/XX,0.02975,0.04625,0.04650,640,5,0,0.05733,4,4,0.01400,0.01500,0.09300,0.09300,0.09300,0.09300,0.09300,4
pma/23,0.03300,0.07000,0.07000,769,5,0,0.06993,1,1,0.07000,0.07000,0.07000,0.07000,0.07000,0.07000,0.07000,1
uu,0.06569,0.08167,0.08184,9048,5,0,0.39834,58,58,0.01600,0.01900,0.07200,0.12000,3.01800,3.01800,3.01800,58
,0.09400,0.10946,0.10960,37270,5,0,0.51240,138,138,0.01300,0.02000,0.09900,0.12400,3.01800,4.20400,4.20400,138
pma/4,0.05900,0.07175,0.07200,3076,5,0,0.08224,4,4,0.01600,0.05800,0.12400,0.12400,0.12400,0.12400,0.12400,4
pma/1,0.03400,0.04800,0.04833,2307,5,0,0.06516,3,3,0.01300,0.02200,0.11000,0.11000,0.11000,0.11000,0.11000,3
pma/7,0.62057,0.63343,0.63371,5383,5,0,1.59018,7,7,0.01600,0.03100,4.20400,4.20400,4.20400,4.20400,4.20400,7
cc,1.03200,1.04200,1.04200,468,5,0,1.74104,3,3,0.01300,0.09900,3.01400,3.01400,3.01400,3.01400,3.01400,3
wpm,0.01071,0.02314,0.02343,1344,5,0,0.02741,7,7,0.01500,0.01800,0.05800,0.05800,0.05800,0.05800,0.05800,7
ur,0.00400,0.01625,0.01625,624,5,0,0.01624,4,4,0.01600,0.01600,0.01700,0.01700,0.01700,0.01700,0.01700,4
id,0.00450,0.01700,0.01700,656,5,0,0.01723,4,4,0.01500,0.01500,0.02200,0.02200,0.02200,0.02200,0.02200,4
pd,0.02175,0.03700,0.03700,2636,5,0,0.04092,4,4,0.02000,0.02100,0.06200,0.06200,0.06200,0.06200,0.06200,4
u,0.05450,0.06800,0.06800,827,5,0,0.07110,2,2,0.04700,0.04700,0.08900,0.08900,0.08900,0.08900,0.08900,2
cu,0.00367,0.02000,0.02033,468,5,0,0.02045,3,3,0.01700,0.02200,0.02200,0.02200,0.02200,0.02200,0.02200,3
mas/CN,0.00500,0.01700,0.01750,4032,5,0,0.01783,2,2,0.01400,0.01400,0.02100,0.02100,0.02100,0.02100,0.02100,2
