T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
1.461312200,2.328235145,.826332121,1.496570900,5.286118245,.5108789203,.0000103476,148940,2780,NA,101922.0944025513,1857.5798847886,NA,NA,2.957883100,5.286118245,2.957883100,Cloud-Only,Pocket-Sphinx
1.480824300,3.440574460,.611397846,1.513270900,6.434669660,.5181100363,.0000152912,215704,2788,NA,145664.8165484588,1842.3667566725,NA,NA,2.994095200,6.434669660,2.994095200,Cloud-Only,Pocket-Sphinx
2.154682900,3.576754212,.570406988,1.806889200,7.538326312,.5386171048,.0000158965,215704,2788,NA,100109.3942872057,1542.9833771766,NA,NA,3.961572100,7.538326312,3.961572100,Cloud-Only,Pocket-Sphinx
