label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/7,0.02550,0.04850,0.04850,1538,1,0,0.05429,2,2,0.02400,0.02400,0.07300,0.07300,0.07300,0.07300,0.07300,2
uu,0.00850,0.03271,0.03286,2184,1,0,0.03329,14,14,0.02800,0.03100,0.03800,0.05000,0.05000,0.05000,0.05000,14
,0.00897,0.03400,0.03414,8080,1,0,0.03585,29,29,0.01800,0.03200,0.05000,0.06100,0.07300,0.07300,0.07300,29
pma/4,0.00900,0.03600,0.03600,769,1,0,0.03596,1,1,0.03600,0.03600,0.03600,0.03600,0.03600,0.03600,0.03600,1
upm,0.00743,0.04014,0.04014,1092,1,0,0.04109,7,7,0.03200,0.03600,0.06100,0.06100,0.06100,0.06100,0.06100,7
pma/23,0.00700,0.02300,0.02300,769,1,0,0.02298,1,1,0.02300,0.02300,0.02300,0.02300,0.02300,0.02300,0.02300,1
cc,0.00600,0.01700,0.01800,156,1,0,0.01798,1,1,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,1
cu,0.00400,0.02100,0.02200,156,1,0,0.02198,1,1,0.02200,0.02200,0.02200,0.02200,0.02200,0.02200,0.02200,1
pd,0.00400,0.02900,0.02900,647,1,0,0.02897,1,1,0.02900,0.02900,0.02900,0.02900,0.02900,0.02900,0.02900,1
pma/1,0.00800,0.02400,0.02400,769,1,0,0.02398,1,1,0.02400,0.02400,0.02400,0.02400,0.02400,0.02400,0.02400,1
