label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/23,0.01475,0.03075,0.03100,3076,5,0,0.03525,4,4,0.01900,0.02100,0.06000,0.06000,0.06000,0.06000,0.06000,4
uu,0.00611,0.02556,0.02574,8424,5,0,0.02772,54,54,0.01700,0.02300,0.03800,0.05100,0.06900,0.06900,0.06900,54
id,0.01533,0.04833,0.04833,492,5,0,0.05490,3,3,0.01600,0.04900,0.08000,0.08000,0.08000,0.08000,0.08000,3
upm,0.00674,0.02819,0.02819,4836,5,0,0.02885,31,31,0.02100,0.02700,0.03400,0.04700,0.04900,0.04900,0.04900,31
,0.00658,0.02513,0.02528,38309,5,0,0.02739,132,132,0.01200,0.02300,0.03700,0.04900,0.06900,0.08000,0.08000,132
wpm,0.00529,0.02043,0.02057,1344,5,0,0.02065,7,7,0.01700,0.02100,0.02400,0.02400,0.02400,0.02400,0.02400,7
mas/CN,0.01000,0.02233,0.02333,6048,5,0,0.02581,3,3,0.01500,0.01600,0.03900,0.03900,0.03900,0.03900,0.03900,3
r/XX,0.00467,0.01567,0.01567,480,5,0,0.01574,3,3,0.01400,0.01500,0.01800,0.01800,0.01800,0.01800,0.01800,3
cu,0.00500,0.02133,0.02133,468,5,0,0.02135,3,3,0.02000,0.02100,0.02300,0.02300,0.02300,0.02300,0.02300,3
pd,0.00367,0.02367,0.02367,1977,5,0,0.02376,3,3,0.02200,0.02200,0.02700,0.02700,0.02700,0.02700,0.02700,3
pma/4,0.00940,0.02540,0.02580,3845,5,0,0.02758,5,5,0.01400,0.02100,0.03800,0.03800,0.03800,0.03800,0.03800,5
cc,0.00280,0.01280,0.01300,780,5,0,0.01308,5,5,0.01200,0.01200,0.01600,0.01600,0.01600,0.01600,0.01600,5
ur,0.00300,0.02000,0.02000,312,5,0,0.02060,2,2,0.01500,0.01500,0.02500,0.02500,0.02500,0.02500,0.02500,2
u,0.00400,0.02050,0.02100,844,5,0,0.02098,2,2,0.02100,0.02100,0.02100,0.02100,0.02100,0.02100,0.02100,2
pma/7,0.00480,0.01740,0.01760,3845,5,0,0.01768,5,5,0.01400,0.01800,0.01900,0.01900,0.01900,0.01900,0.01900,5
pma/1,0.00950,0.02200,0.02200,1538,5,0,0.02218,2,2,0.01900,0.01900,0.02500,0.02500,0.02500,0.02500,0.02500,2
