T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
2.262059400,1.547506032,.992698706,3.153892800,6.963458232,NA,.0000068777,166848,879128,NA,73759.3362932909,278743.7797505355,NA,NA,5.415952200,6.963458232,5.415952200,Cloud-Only,YOLO
2.626874300,1.566421877,.623548220,3.272279400,7.465575577,NA,.0000069618,144956,837676,NA,55181.9323825277,255991.5880043739,NA,NA,5.899153700,7.465575577,5.899153700,Cloud-Only,YOLO
3.827162700,1.599347820,.652373138,2.912021400,8.338531920,NA,.0000071081,386316,765420,NA,100940.5740707077,262848.3430787974,NA,NA,6.739184100,8.338531920,6.739184100,Cloud-Only,YOLO
