T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
3.547162000,.199024276,.243615465,1.830427400,5.576613676,NA,.0000008845,434564,2836,NA,122510.3336131814,1549.3649188162,NA,NA,5.377589400,5.576613676,5.377589400,Cloud-Only,Aeneas
3.534434400,.189950395,.232675494,1.795278500,5.519663295,NA,.0000008442,431668,2836,NA,122132.1295424241,1579.6991943032,NA,NA,5.329712900,5.519663295,5.329712900,Cloud-Only,Aeneas
3.625493100,.207879272,.243143452,1.829412200,5.662784572,NA,.0000009238,421612,2836,NA,116290.9398448448,1550.2247115220,NA,NA,5.454905300,5.662784572,5.454905300,Cloud-Only,Aeneas
