T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,Pipeline,Application
1.576484900,8.182292633,2.671047011,.801876400,10.560653933,NA,.0000181826,435244,5800,NA,744103.3411641254,7233.0349166031,NA,Edge-Only,Aeneas
1.585449700,5.060234030,1.945357996,.737374600,7.383058330,NA,.0000112448,432348,5800,NA,727759.2424211934,7865.7442228142,NA,Edge-Only,Aeneas
1.597460900,5.064290554,2.012625931,.777755000,7.439506454,NA,.0000112538,422292,5800,NA,713547.0747953159,7457.3612512937,NA,Edge-Only,Aeneas
