label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
id,0.06167,0.10600,0.10633,492,25,0,0.11237,3,3,0.07700,0.08400,0.15800,0.15800,0.15800,0.15800,0.15800,3
u,0.04050,0.08225,0.08250,1671,1,0,0.08257,4,4,0.07600,0.08100,0.09000,0.09000,0.09000,0.09000,0.09000,4
uu,0.03894,0.08139,0.08161,8424,25,0,0.08162,54,54,0.07600,0.08100,0.08700,0.09100,0.09300,0.09300,0.09300,54
pma/23,0.03740,0.07860,0.07880,3845,25,0,0.07875,5,5,0.07700,0.07700,0.08200,0.08200,0.08200,0.08200,0.08200,5
,0.03923,0.08189,0.08205,38732,1,0,0.08231,137,137,0.07500,0.08100,0.08700,0.08900,0.09300,0.15800,0.15800,137
pma/7,0.03858,0.08050,0.08050,9228,25,0,0.08050,12,12,0.07500,0.08100,0.08400,0.08600,0.08600,0.08600,0.08600,12
wpm,0.03900,0.08071,0.08071,1344,25,0,0.08070,7,7,0.07700,0.08100,0.08700,0.08700,0.08700,0.08700,0.08700,7
pd,0.03860,0.08320,0.08360,3294,25,0,0.08362,5,5,0.08000,0.08100,0.09000,0.09000,0.09000,0.09000,0.09000,5
r/XX,0.03775,0.08025,0.08025,640,25,0,0.08018,4,4,0.07900,0.07900,0.08200,0.08200,0.08200,0.08200,0.08200,4
upm,0.03874,0.08248,0.08248,4836,25,0,0.08244,31,31,0.07600,0.08300,0.08600,0.08700,0.08800,0.08800,0.08800,31
mas/CN,0.03700,0.07700,0.08000,2016,25,0,0.07992,1,1,0.08000,0.08000,0.08000,0.08000,0.08000,0.08000,0.08000,1
pma/4,0.03650,0.07950,0.08000,1538,25,0,0.07993,2,2,0.07900,0.07900,0.08100,0.08100,0.08100,0.08100,0.08100,2
ur,0.03775,0.08075,0.08075,624,25,0,0.08076,4,4,0.07500,0.08000,0.08500,0.08500,0.08500,0.08500,0.08500,4
cc,0.04067,0.08000,0.08000,468,25,0,0.07996,3,3,0.07700,0.08000,0.08300,0.08300,0.08300,0.08300,0.08300,3
cu,0.03700,0.08000,0.08050,312,25,0,0.08055,2,2,0.07600,0.07600,0.08500,0.08500,0.08500,0.08500,0.08500,2
