label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
id,0.05150,0.12050,0.12100,328,5,0,0.12671,2,2,0.08300,0.08300,0.15900,0.15900,0.15900,0.15900,0.15900,2
uu,0.03810,0.08161,0.08182,9516,5,0,0.08264,61,61,0.07100,0.07900,0.08400,0.10400,0.15900,0.15900,0.15900,61
wpm,0.04012,0.08787,0.08837,1536,5,0,0.09226,8,8,0.07500,0.07800,0.15900,0.15900,0.15900,0.15900,0.15900,8
,0.03782,0.08195,0.08213,45532,5,0,0.08315,151,151,0.07000,0.07900,0.08600,0.10700,0.15900,0.15900,0.15900,151
pma/7,0.03700,0.07783,0.07783,4614,5,0,0.07784,6,6,0.07400,0.07600,0.08500,0.08500,0.08500,0.08500,0.08500,6
pma/23,0.03900,0.08025,0.08075,3076,5,0,0.08078,4,4,0.07400,0.08100,0.08600,0.08600,0.08600,0.08600,0.08600,4
upm,0.03713,0.08087,0.08089,5928,5,0,0.08103,38,38,0.07500,0.08000,0.08600,0.09000,0.11100,0.11100,0.11100,38
pma/1,0.03775,0.08000,0.08025,3076,5,0,0.08028,4,4,0.07600,0.07800,0.08700,0.08700,0.08700,0.08700,0.08700,4
ur,0.03800,0.07825,0.07825,624,5,0,0.07827,4,4,0.07300,0.07600,0.08300,0.08300,0.08300,0.08300,0.08300,4
cc,0.03650,0.07825,0.07825,624,5,0,0.07836,4,4,0.07000,0.07700,0.08400,0.08400,0.08400,0.08400,0.08400,4
pma/4,0.03550,0.07750,0.07750,1538,5,0,0.07744,2,2,0.07600,0.07600,0.07900,0.07900,0.07900,0.07900,0.07900,2
pd,0.03667,0.08933,0.08933,1976,5,0,0.09055,3,3,0.07800,0.07900,0.11100,0.11100,0.11100,0.11100,0.11100,3
mas/CN,0.03720,0.07900,0.08000,10080,5,0,0.07998,5,5,0.07600,0.08000,0.08500,0.08500,0.08500,0.08500,0.08500,5
r/XX,0.03600,0.07400,0.07400,480,5,0,0.07393,3,3,0.07300,0.07400,0.07500,0.07500,0.07500,0.07500,0.07500,3
u,0.03600,0.09475,0.09475,1668,5,0,0.09799,4,4,0.07200,0.07600,0.13600,0.13600,0.13600,0.13600,0.13600,4
cu,0.03533,0.07533,0.07567,468,5,0,0.07564,3,3,0.07200,0.07700,0.07800,0.07800,0.07800,0.07800,0.07800,3
