T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
1.068123000,.008843770,.837545102,1.834439400,2.911406170,NA,.0000000393,2932,2696,NA,2745.0022141644,1469.6587960332,NA,NA,2.902562400,2.911406170,2.902562400,Cloud-Only,FogLAMP
1.397400400,.008403447,.353075573,1.551764600,2.957568447,NA,.0000000373,2940,2696,NA,2103.9066540985,1737.3769191538,NA,NA,2.949165000,2.957568447,2.949165000,Cloud-Only,FogLAMP
1.375920800,.009013896,.353495048,1.561192500,2.946127196,NA,.0000000400,2940,2696,NA,2136.7508943828,1726.8850574160,NA,NA,2.937113300,2.946127196,2.937113300,Cloud-Only,FogLAMP
1.409353700,.011190790,.405486173,1.590489000,3.011033490,NA,.0000000497,2940,2696,NA,2086.0625689633,1695.0761683985,NA,NA,2.999842700,3.011033490,2.999842700,Cloud-Only,FogLAMP
1.417271900,.011394644,.354088388,1.584646700,3.013313244,NA,.0000000506,2940,2696,NA,2074.4078817903,1701.3256014731,NA,NA,3.001918600,3.013313244,3.001918600,Cloud-Only,FogLAMP
