label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.01197,0.06373,0.06373,4680,5,0,0.07322,30,30,0.03000,0.05100,0.14000,0.15300,0.16600,0.16600,0.16600,30
uu,0.00976,0.06357,0.06371,7956,5,0,0.07821,51,51,0.02100,0.04600,0.13200,0.15600,0.22800,0.22800,0.22800,51
mas/CN,0.01520,0.07180,0.07340,10080,5,0,0.08046,5,5,0.02700,0.07500,0.11600,0.11600,0.11600,0.11600,0.11600,5
pma/1,0.00780,0.03160,0.03160,3845,5,0,0.03274,5,5,0.02200,0.03000,0.04400,0.04400,0.04400,0.04400,0.04400,5
pma/7,0.00544,0.06367,0.06400,6921,5,0,0.08139,9,9,0.02000,0.03600,0.14900,0.14900,0.14900,0.14900,0.14900,9
,0.01006,0.06011,0.06027,44089,5,0,0.07339,133,133,0.01800,0.04500,0.13400,0.14800,0.19800,0.22800,0.22800,133
r/XX,0.03325,0.07900,0.07925,640,5,0,0.09605,4,4,0.02000,0.03000,0.13500,0.13500,0.13500,0.13500,0.13500,4
pma/4,0.00550,0.02950,0.02950,1538,5,0,0.02998,2,2,0.02400,0.02400,0.03500,0.03500,0.03500,0.03500,0.03500,2
wpm,0.00825,0.05063,0.05088,1536,5,0,0.06351,8,8,0.02200,0.03400,0.14800,0.14800,0.14800,0.14800,0.14800,8
cu,0.00550,0.03000,0.03000,312,5,0,0.02999,2,2,0.02900,0.02900,0.03100,0.03100,0.03100,0.03100,0.03100,2
id,0.00475,0.06400,0.06400,656,5,0,0.07672,4,4,0.01800,0.04000,0.13100,0.13100,0.13100,0.13100,0.13100,4
u,0.00475,0.03750,0.03750,1676,5,0,0.04119,4,4,0.02000,0.02700,0.06500,0.06500,0.06500,0.06500,0.06500,4
pma/23,0.00900,0.02533,0.02533,2307,5,0,0.02537,3,3,0.02300,0.02600,0.02700,0.02700,0.02700,0.02700,0.02700,3
ur,0.00600,0.08350,0.08350,312,5,0,0.10423,2,2,0.02100,0.02100,0.14600,0.14600,0.14600,0.14600,0.14600,2
cc,0.00350,0.08650,0.08650,312,5,0,0.08779,2,2,0.07100,0.07100,0.10200,0.10200,0.10200,0.10200,0.10200,2
pd,0.00600,0.04400,0.04450,1318,5,0,0.04446,2,2,0.04400,0.04400,0.04500,0.04500,0.04500,0.04500,0.04500,2
