label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/4,0.05000,0.06767,0.06833,2307,5,0,0.07694,3,3,0.01900,0.08500,0.10100,0.10100,0.10100,0.10100,0.10100,3
uu,0.04396,0.05927,0.05943,8736,5,0,0.22870,56,56,0.01600,0.02000,0.08400,0.10600,1.68800,1.68800,1.68800,56
wpm,0.01100,0.02544,0.02556,1728,5,0,0.02709,9,9,0.01600,0.02200,0.04300,0.04300,0.04300,0.04300,0.04300,9
,0.02591,0.04109,0.04123,38656,5,0,0.14914,137,137,0.01400,0.02000,0.06000,0.10100,0.15700,1.68800,1.68800,137
upm,0.01070,0.02787,0.02787,4680,5,0,0.03747,30,30,0.01800,0.02100,0.02900,0.05400,0.15700,0.15700,0.15700,30
id,0.00400,0.01600,0.01600,328,5,0,0.01602,2,2,0.01500,0.01500,0.01700,0.01700,0.01700,0.01700,0.01700,2
ur,0.02320,0.03540,0.03540,780,5,0,0.05145,5,5,0.01500,0.01600,0.11000,0.11000,0.11000,0.11000,0.11000,5
pma/7,0.00443,0.01900,0.01929,5383,5,0,0.01988,7,7,0.01500,0.01800,0.03100,0.03100,0.03100,0.03100,0.03100,7
pma/1,0.00400,0.01967,0.01967,2307,5,0,0.02016,3,3,0.01600,0.01700,0.02600,0.02600,0.02600,0.02600,0.02600,3
r/XX,0.02375,0.03550,0.03550,640,5,0,0.04074,4,4,0.01400,0.01700,0.05700,0.05700,0.05700,0.05700,0.05700,4
u,0.00433,0.01833,0.01867,1245,5,0,0.01865,3,3,0.01800,0.01900,0.01900,0.01900,0.01900,0.01900,0.01900,3
pma/23,0.00425,0.01825,0.01850,3076,5,0,0.01873,4,4,0.01500,0.01600,0.02200,0.02200,0.02200,0.02200,0.02200,4
pd,0.00400,0.01825,0.01875,2634,5,0,0.01879,4,4,0.01700,0.01800,0.02100,0.02100,0.02100,0.02100,0.02100,4
cc,0.04167,0.05233,0.05233,468,5,0,0.07430,3,3,0.01500,0.01500,0.12700,0.12700,0.12700,0.12700,0.12700,3
cu,0.00500,0.02200,0.02250,312,5,0,0.02275,2,2,0.01900,0.01900,0.02600,0.02600,0.02600,0.02600,0.02600,2
mas/CN,0.03750,0.04850,0.04900,4032,5,0,0.05327,2,2,0.02800,0.02800,0.07000,0.07000,0.07000,0.07000,0.07000,2
