label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
uu,0.05436,0.07172,0.07211,17784,10,0,0.39901,114,114,0.01500,0.01900,0.10600,0.11500,0.22700,4.22400,4.22400,114
wpm,0.01426,0.03026,0.03058,3648,10,0,0.04069,19,19,0.01600,0.01800,0.07900,0.11600,0.11600,0.11600,0.11600,19
upm,0.06258,0.08209,0.08209,10764,10,0,0.36707,69,69,0.01600,0.02200,0.10500,0.11800,3.02000,3.02000,3.02000,69
pma/7,0.00950,0.02643,0.02657,10766,10,0,0.03961,14,14,0.01400,0.01700,0.04100,0.13000,0.13000,0.13000,0.13000,14
cc,0.01256,0.02944,0.02956,1404,10,0,0.04760,9,9,0.01300,0.01700,0.13500,0.13500,0.13500,0.13500,0.13500,9
cu,0.01233,0.02822,0.02822,1404,10,0,0.03545,9,9,0.01700,0.01900,0.08700,0.08700,0.08700,0.08700,0.08700,9
,0.04133,0.05937,0.05960,88687,10,0,0.30559,298,298,0.01300,0.02000,0.09600,0.11500,0.33600,4.22400,4.22400,298
id,0.01760,0.03780,0.03820,820,10,0,0.04565,5,5,0.01600,0.02500,0.08100,0.08100,0.08100,0.08100,0.08100,5
pma/1,0.01557,0.02857,0.02886,5383,10,0,0.03989,7,7,0.01400,0.01700,0.09600,0.09600,0.09600,0.09600,0.09600,7
pd,0.03087,0.06000,0.06013,5270,10,0,0.12039,8,8,0.01700,0.01900,0.33600,0.33600,0.33600,0.33600,0.33600,8
pma/23,0.01229,0.02614,0.02643,5383,10,0,0.03271,7,7,0.01500,0.01800,0.07300,0.07300,0.07300,0.07300,0.07300,7
ur,0.01750,0.03183,0.03183,936,10,0,0.04363,6,6,0.01400,0.01500,0.09700,0.09700,0.09700,0.09700,0.09700,6
pma/4,0.00838,0.02337,0.02350,6152,10,0,0.02514,8,8,0.01500,0.02000,0.04500,0.04500,0.04500,0.04500,0.04500,8
mas/CN,0.03243,0.07029,0.07114,14112,10,0,0.12645,7,7,0.01600,0.02200,0.32200,0.32200,0.32200,0.32200,0.32200,7
u,0.01678,0.03200,0.03222,3741,10,0,0.04211,9,9,0.01600,0.02000,0.10500,0.10500,0.10500,0.10500,0.10500,9
r/XX,0.01329,0.02543,0.02543,1120,10,0,0.03027,7,7,0.01500,0.01500,0.06000,0.06000,0.06000,0.06000,0.06000,7
