T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
.848275900,37.448636391,3.136342330,1.423512600,39.720424891,NA,.0000832183,167188,879160,35459092,197091.5359024109,617599.0293306852,755955.3196077527,46.906333060,2.271788500,Cloud/Edge,YOLO
.799221700,37.452070045,3.242474735,1.505460300,39.756752045,NA,.0000832259,145296,837708,35459092,181796.8656256455,556446.4237283440,1543250.2761669974,22.976890105,2.304682000,Cloud/Edge,YOLO
.897753300,36.760555122,2.714056602,1.368546500,39.026854922,NA,.0000816893,386656,765452,35459092,430692.9308976085,559317.4948750371,1583977.1875035005,22.386112805,2.266299800,Cloud/Edge,YOLO
