T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
4.503501100,1.939267267,.569753041,1.694839800,8.137608167,NA,.0000086188,434564,5580,NA,96494.7027547078,3292.3465686845,NA,NA,6.198340900,8.137608167,6.198340900,Cloud-Only,Aeneas
4.892846300,.858346351,.358212168,1.841030800,7.592223451,NA,.0000038148,431668,5580,NA,88224.3122985490,3030.9107267515,NA,NA,6.733877100,7.592223451,6.733877100,Cloud-Only,Aeneas
5.333632700,.836850116,.361113633,1.749040100,7.919522916,NA,.0000037192,421612,5580,NA,79047.8129474494,3190.3213654163,NA,NA,7.082672800,7.919522916,7.082672800,Cloud-Only,Aeneas
