T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
2.507213200,1.569731804,1.841109597,3.639103300,7.716048304,NA,.0000069765,166848,878856,NA,66547.1927158009,241503.4494898784,NA,NA,6.146316500,7.716048304,6.146316500,Cloud-Only,YOLO
2.144949400,1.513211928,.579879818,2.993552000,6.651713328,NA,.0000067253,144976,837404,NA,67589.4732062210,279735.9123876919,NA,NA,5.138501400,6.651713328,5.138501400,Cloud-Only,YOLO
3.297263400,1.400975811,.412474934,2.923571600,7.621810811,NA,.0000062264,386316,765148,NA,117162.6143061546,261716.8671360742,NA,NA,6.220835000,7.621810811,6.220835000,Cloud-Only,YOLO
