label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pd,0.02050,0.04350,0.04400,1316,5,0,0.04871,2,2,0.02300,0.02300,0.06500,0.06500,0.06500,0.06500,0.06500,2
uu,0.00694,0.02887,0.02900,9828,5,0,0.03512,63,63,0.01900,0.02400,0.03000,0.05500,0.14300,0.14300,0.14300,63
upm,0.01014,0.03573,0.03576,5772,5,0,0.04169,37,37,0.02200,0.02900,0.06100,0.08800,0.13500,0.13500,0.13500,37
pma/7,0.00770,0.02540,0.02540,7690,5,0,0.02649,10,10,0.01600,0.02500,0.03100,0.04400,0.04400,0.04400,0.04400,10
r/XX,0.00333,0.01967,0.01967,480,5,0,0.01974,3,3,0.01700,0.02100,0.02100,0.02100,0.02100,0.02100,0.02100,3
ur,0.00975,0.02325,0.02325,624,5,0,0.02540,4,4,0.01600,0.01800,0.04100,0.04100,0.04100,0.04100,0.04100,4
pma/1,0.00420,0.01980,0.01980,3845,5,0,0.02015,5,5,0.01500,0.01900,0.02600,0.02600,0.02600,0.02600,0.02600,5
,0.00760,0.02814,0.02827,50166,5,0,0.03338,158,158,0.01300,0.02400,0.03400,0.06100,0.13500,0.14300,0.14300,158
u,0.00667,0.02500,0.02533,1259,5,0,0.02554,3,3,0.02200,0.02400,0.03000,0.03000,0.03000,0.03000,0.03000,3
pma/4,0.00575,0.01950,0.01950,3076,5,0,0.01954,4,4,0.01800,0.01800,0.02100,0.02100,0.02100,0.02100,0.02100,4
cc,0.00400,0.01550,0.01550,624,5,0,0.01557,4,4,0.01300,0.01500,0.01700,0.01700,0.01700,0.01700,0.01700,4
wpm,0.00800,0.02500,0.02525,1536,5,0,0.02674,8,8,0.01700,0.02200,0.04600,0.04600,0.04600,0.04600,0.04600,8
cu,0.00567,0.02300,0.02300,468,5,0,0.02299,3,3,0.02200,0.02300,0.02400,0.02400,0.02400,0.02400,0.02400,3
id,0.00433,0.01867,0.01867,492,5,0,0.01887,3,3,0.01500,0.01900,0.02200,0.02200,0.02200,0.02200,0.02200,3
mas/CN,0.00480,0.01940,0.02080,10080,5,0,0.02091,5,5,0.01800,0.02000,0.02400,0.02400,0.02400,0.02400,0.02400,5
pma/23,0.00600,0.01900,0.01900,3076,5,0,0.01907,4,4,0.01600,0.01900,0.02100,0.02100,0.02100,0.02100,0.02100,4
