label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/4,0.14900,0.17700,0.17700,769,1,0,0.17682,1,1,0.17700,0.17700,0.17700,0.17700,0.17700,0.17700,0.17700,1
mas/CN,0.00500,0.01700,0.01800,2016,1,0,0.01798,1,1,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,0.01800,1
upm,0.04550,0.06267,0.06267,936,1,0,0.08570,6,6,0.01900,0.02200,0.17800,0.17800,0.17800,0.17800,0.17800,6
wpm,0.00700,0.02100,0.02100,192,1,0,0.02098,1,1,0.02100,0.02100,0.02100,0.02100,0.02100,0.02100,0.02100,1
,0.23781,0.25456,0.25469,5284,1,0,0.76534,16,16,0.01500,0.05600,0.17800,3.04200,3.04200,3.04200,3.04200,16
cu,0.08100,0.09800,0.09800,156,1,0,0.09790,1,1,0.09800,0.09800,0.09800,0.09800,0.09800,0.09800,0.09800,1
uu,0.06133,0.07800,0.07800,468,1,0,0.08006,3,3,0.05600,0.07700,0.10100,0.10100,0.10100,0.10100,0.10100,3
id,0.00400,0.01500,0.01500,164,1,0,0.01499,1,1,0.01500,0.01500,0.01500,0.01500,0.01500,0.01500,0.01500,1
ur,3.02600,3.04200,3.04200,156,1,0,3.03996,1,1,3.04200,3.04200,3.04200,3.04200,3.04200,3.04200,3.04200,1
u,0.07600,0.09300,0.09400,427,1,0,0.09391,1,1,0.09400,0.09400,0.09400,0.09400,0.09400,0.09400,0.09400,1
