label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
pma/23,0.02950,0.04850,0.04900,3076,5,0,0.05818,4,4,0.01800,0.02400,0.09700,0.09700,0.09700,0.09700,0.09700,4
,0.10442,0.12407,0.12423,32241,5,0,0.88575,104,104,0.01600,0.02400,0.09100,0.11200,0.14100,9.01600,9.01600,104
upm,0.01196,0.03378,0.03378,3588,5,0,0.03733,23,23,0.02300,0.02800,0.05400,0.06400,0.09000,0.09000,0.09000,23
uu,0.01902,0.03966,0.03984,6864,5,0,0.05035,44,44,0.02100,0.02400,0.09300,0.10500,0.13200,0.13200,0.13200,44
pma/7,0.00333,0.01817,0.01833,4614,5,0,0.01838,6,6,0.01600,0.01800,0.02100,0.02100,0.02100,0.02100,0.02100,6
mas/CN,0.00500,0.01933,0.02033,6048,5,0,0.02035,3,3,0.01900,0.02000,0.02200,0.02200,0.02200,0.02200,0.02200,3
wpm,0.00380,0.02140,0.02160,960,5,0,0.02166,5,5,0.01800,0.02200,0.02300,0.02300,0.02300,0.02300,0.02300,5
id,0.04333,0.06400,0.06400,492,5,0,0.07642,3,3,0.01600,0.05800,0.11800,0.11800,0.11800,0.11800,0.11800,3
cc,0.01100,0.02400,0.02400,312,5,0,0.02472,2,2,0.01800,0.01800,0.03000,0.03000,0.03000,0.03000,0.03000,2
u,4.50450,4.52800,4.52800,838,5,0,6.37493,2,2,0.03300,0.03300,9.01600,9.01600,9.01600,9.01600,9.01600,2
pma/1,0.02933,0.04467,0.04467,2307,5,0,0.05537,3,3,0.02000,0.02300,0.09100,0.09100,0.09100,0.09100,0.09100,3
cu,0.01200,0.02900,0.03000,312,5,0,0.03038,2,2,0.02500,0.02500,0.03500,0.03500,0.03500,0.03500,0.03500,2
ur,0.05900,0.07950,0.07950,312,5,0,0.10045,2,2,0.01800,0.01800,0.14100,0.14100,0.14100,0.14100,0.14100,2
pma/4,0.08450,0.10050,0.10050,1538,5,0,0.10106,2,2,0.08900,0.08900,0.11200,0.11200,0.11200,0.11200,0.11200,2
r/XX,0.00650,0.02050,0.02050,320,5,0,0.02063,2,2,0.01800,0.01800,0.02300,0.02300,0.02300,0.02300,0.02300,2
pd,0.00300,0.02400,0.02400,660,5,0,0.02398,1,1,0.02400,0.02400,0.02400,0.02400,0.02400,0.02400,0.02400,1
