T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application
2.232795800,1.547900735,.849235114,4.431509600,8.212206135,NA,.0000068794,166848,879128,NA,74726.0452568031,198381.1566153438,NA,NA,6.664305400,8.212206135,6.664305400,Cloud-Only,YOLO
2.143802200,1.634093482,.578862094,3.108776400,6.886672082,NA,.0000072625,144956,837676,NA,67616.3127363149,269455.2107382184,NA,NA,5.252578600,6.886672082,5.252578600,Cloud-Only,YOLO
3.382355400,1.439758479,.566698873,3.055159600,7.877273479,NA,.0000063988,386316,765420,NA,114215.0821879924,250533.5564138776,NA,NA,6.437515000,7.877273479,6.437515000,Cloud-Only,YOLO
