label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
upm,0.00716,0.03928,0.03928,10452,10,0,0.04077,67,67,0.02200,0.03700,0.04700,0.06200,0.10000,0.10000,0.10000,67
wpm,0.01000,0.03783,0.03800,2304,10,0,0.04477,12,12,0.02400,0.02800,0.05300,0.11100,0.11100,0.11100,0.11100,12
ur,0.01925,0.05225,0.05225,624,10,0,0.06723,4,4,0.02200,0.02500,0.12500,0.12500,0.12500,0.12500,0.12500,4
uu,0.00886,0.04087,0.04110,16224,10,0,0.05648,104,104,0.02200,0.03100,0.05500,0.08300,0.19900,0.34300,0.34300,104
pd,0.01400,0.05443,0.05471,4609,10,0,0.07399,7,7,0.02400,0.03500,0.17600,0.17600,0.17600,0.17600,0.17600,7
pma/23,0.01713,0.04988,0.05025,6152,10,0,0.07226,8,8,0.02100,0.02500,0.18600,0.18600,0.18600,0.18600,0.18600,8
pma/7,0.00533,0.02883,0.02908,9228,10,0,0.03706,12,12,0.01700,0.02200,0.02700,0.10500,0.10500,0.10500,0.10500,12
,0.00828,0.03792,0.03816,77973,1,0,0.04839,273,273,0.01500,0.03200,0.05200,0.07400,0.18600,0.34300,0.34300,273
r/XX,0.00633,0.02822,0.02844,1440,10,0,0.03116,9,9,0.01600,0.02400,0.06000,0.06000,0.06000,0.06000,0.06000,9
mas/CN,0.00680,0.03460,0.03600,10080,10,0,0.03772,5,5,0.02000,0.04000,0.05100,0.05100,0.05100,0.05100,0.05100,5
u,0.00678,0.03633,0.03678,3824,1,0,0.03950,9,9,0.02500,0.03200,0.06900,0.06900,0.06900,0.06900,0.06900,9
pma/1,0.00533,0.02267,0.02267,4614,10,0,0.02337,6,6,0.01500,0.02100,0.03400,0.03400,0.03400,0.03400,0.03400,6
id,0.00537,0.02550,0.02575,1312,10,0,0.02725,8,8,0.02000,0.02200,0.04900,0.04900,0.04900,0.04900,0.04900,8
cc,0.00537,0.01825,0.01825,1248,10,0,0.01839,8,8,0.01500,0.01700,0.02200,0.02200,0.02200,0.02200,0.02200,8
cu,0.00575,0.03175,0.03213,1248,10,0,0.03229,8,8,0.02800,0.03100,0.03900,0.03900,0.03900,0.03900,0.03900,8
pma/4,0.00800,0.03117,0.03333,4614,10,0,0.03489,6,6,0.02200,0.02700,0.04800,0.04800,0.04800,0.04800,0.04800,6
