T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
32.898776800,26.995376314,2.300873192,.810443600,60.704596714,4.0651860802,.0000599891,433740,2484,6618240,13184.0768012991,3064.9881126829,1192197.5409300151,5.551294792,33.709220400,Cloud/Edge,Aeneas
1.645182300,26.995376314,2.300873192,.748468400,29.389027014,4.0651860802,.0000599891,430772,2484,6618240,261838.4600904106,3318.7773859257,1192197.5409300151,5.551294792,2.393650700,Cloud/Edge,Aeneas
1.937593000,26.995376314,2.300873192,.694057700,29.627027014,4.0651860802,.0000599891,420748,2484,6618240,217149.8348724422,3578.9531619633,1192197.5409300151,5.551294792,2.631650700,Cloud/Edge,Aeneas
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
1.715027700,26.995376314,2.300873192,.685425200,29.395829214,4.0651860802,.0000599891,433700,2668,6618240,252882.2129228583,3892.4743356386,1192197.5409300151,5.551294792,2.400452900,Cloud/Edge,Aeneas
1.738138100,26.995376314,2.300873192,.665854100,29.399368514,4.0651860802,.0000599891,430772,2668,6618240,247835.3129708163,4006.8837903078,1192197.5409300151,5.551294792,2.403992200,Cloud/Edge,Aeneas
1.635812400,26.995376314,2.300873192,.718265700,29.349454414,4.0651860802,.0000599891,420748,2668,6618240,257210.4233957390,3714.5028643300,1192197.5409300151,5.551294792,2.354078100,Cloud/Edge,Aeneas
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
1.729683700,26.995376314,2.300873192,.738831900,29.463891914,4.0651860802,.0000599891,433700,2668,6618240,250739.4849127617,3611.1055843690,1192197.5409300151,5.551294792,2.468515600,Cloud/Edge,Aeneas
1.641263900,26.995376314,2.300873192,.762627000,29.399267214,4.0651860802,.0000599891,430772,2668,6618240,262463.5806587837,3498.4337035011,1192197.5409300151,5.551294792,2.403890900,Cloud/Edge,Aeneas
1.673464900,26.995376314,2.300873192,.694931000,29.363772214,4.0651860802,.0000599891,420748,2668,6618240,251423.2596094486,3839.2300818354,1192197.5409300151,5.551294792,2.368395900,Cloud/Edge,Aeneas
T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,Pipeline,Application
1.609847400,26.995376314,2.300873192,.684304800,29.289528514,4.0651860802,.0000599891,433700,2668,6618240,269404.4168409999,3898.8474141932,1192197.5409300151,5.551294792,2.294152200,Cloud/Edge,Aeneas
1.708956500,26.995376314,2.300873192,.750573300,29.454906114,4.0651860802,.0000599891,430772,2668,6618240,252067.2702903789,3554.6161847217,1192197.5409300151,5.551294792,2.459529800,Cloud/Edge,Aeneas
1.780196900,26.995376314,2.300873192,.718253700,29.493826914,4.0651860802,.0000599891,420748,2668,6618240,236349.1364354134,3714.5649232297,1192197.5409300151,5.551294792,2.498450600,Cloud/Edge,Aeneas
