T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,Pipeline,Application
3.574374500,1.921954259,.563721987,1.610038700,7.106367459,NA,.0000085419,434580,5556,NA,316249.7962475607,3450.8487280461,NA,Cloud-Only,Aeneas
3.627539200,.844052262,.453158834,1.680641000,6.152232462,NA,.0000037513,431684,5556,NA,307735.7304910908,3305.8815059254,NA,Cloud-Only,Aeneas
3.653867200,.825639752,.347753053,1.600799200,6.080306152,NA,.0000036694,421628,5556,NA,297258.9385071443,3470.7663522070,NA,Cloud-Only,Aeneas
