T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,Pipeline,Application
1.488041600,.019695926,.829836510,1.582270600,3.090008126,NA,.0000000875,2940,3212,NA,1975.7512155574,2029.9941109946,NA,Cloud-Only,FogLAMP
1.337574600,.015909969,.518377936,1.592131000,2.945615569,NA,.0000000707,2948,3644,NA,2203.9892204890,2288.7563900206,NA,Cloud-Only,FogLAMP
1.450298400,.019284948,.300019231,1.618028500,3.087611848,NA,.0000000857,2948,7332,NA,2032.6851356934,4531.4405772209,NA,Cloud-Only,FogLAMP
1.387148400,.025203205,.297175345,1.693942400,3.106294005,NA,.0000001120,2948,3588,NA,2125.2232277382,2118.1357760452,NA,Cloud-Only,FogLAMP
1.570623900,.025285996,.350157104,1.605034300,3.200944196,NA,.0000001123,2948,3004,NA,1876.9611235382,1871.6110926725,NA,Cloud-Only,FogLAMP
