T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,Pipeline,Application
.725166000,.124097848,2.979315214,.833863600,1.683127448,NA,.0000002757,3272,3456,NA,4512.0703397566,4144.5627318424,NA,Edge-Only,FogLAMP
.644244600,.057740447,2.298694267,.663701000,1.365686047,NA,.0000001283,3280,3888,NA,5091.2339816274,5858.0595780328,NA,Edge-Only,FogLAMP
.713798500,.126206969,2.238136609,.799419600,1.639425069,NA,.0000002804,3280,7336,NA,4595.1343411340,9176.6576651360,NA,Edge-Only,FogLAMP
.734420300,.062478172,1.979477176,.740891800,1.537790272,NA,.0000001388,3280,3832,NA,4466.1074864079,5172.1452444203,NA,Edge-Only,FogLAMP
.639878700,.071856589,1.935109814,.788338200,1.500073489,NA,.0000001596,3280,3248,NA,5125.9715317918,4120.0591319816,NA,Edge-Only,FogLAMP
